year,date,month,weekday,member_casual,rideable_type,ride_count,mean_duration_min,median_duration_min
2024,2024-02-13,2,2,casual,electric_bike,1348,12.010311572700296,8.875
2024,2024-02-13,2,2,member,classic_bike,3758,10.542469398616287,7.966666666666667
2024,2024-02-13,2,2,member,electric_bike,3432,10.284358003108004,7.833333333333333
2024,2024-02-14,2,3,casual,classic_bike,1166,21.646355060034306,10.958333333333332
2024,2024-02-14,2,3,casual,electric_bike,1600,11.72359375,8.858333333333334
2024,2024-02-14,2,3,member,classic_bike,4890,11.670855487389229,8.416666666666666
2024,2024-02-14,2,3,member,electric_bike,4157,10.462970090610215,8.166666666666666
2024,2024-02-15,2,4,casual,classic_bike,1143,21.631598133566637,11.233333333333333
2024,2024-02-15,2,4,casual,electric_bike,1678,11.575536352800954,9.225
2024,2024-02-15,2,4,member,classic_bike,4577,10.950254897676789,8.433333333333334
2024,2024-02-15,2,4,member,electric_bike,4254,10.77053753330199,8.216666666666667
2024,2024-02-16,2,5,casual,classic_bike,1469,28.81531654186521,13.716666666666667
2024,2024-02-16,2,5,casual,electric_bike,1759,13.012545006632555,9.033333333333333
2024,2024-02-16,2,5,member,classic_bike,3830,10.41698868581375,7.708333333333334
2024,2024-02-16,2,5,member,electric_bike,4016,10.954228917662682,8.1
2024,2024-02-17,2,6,casual,classic_bike,1152,25.977141203703702,13.066666666666666
2024,2024-02-17,2,6,casual,electric_bike,1346,13.376337295690936,8.716666666666667
2024,2024-02-17,2,6,member,classic_bike,2587,10.990516685994072,7.916666666666667
2024,2024-02-17,2,6,member,electric_bike,2649,10.566754750220209,7.733333333333333
2024,2024-02-18,2,7,casual,classic_bike,1684,29.982294140934282,15.833333333333334
2024,2024-02-18,2,7,casual,electric_bike,1571,16.271790791427968,10.166666666666666
2024,2024-02-18,2,7,member,classic_bike,2830,12.928274440518255,8.183333333333334
2024,2024-02-18,2,7,member,electric_bike,2801,11.010412947756752,8.016666666666667
2024,2024-02-19,2,1,casual,classic_bike,1465,30.641797497155856,15.95
2024,2024-02-19,2,1,casual,electric_bike,1608,15.201264510779437,10.033333333333335
2024,2024-02-19,2,1,member,classic_bike,3196,14.123711931581143,7.866666666666666
2024,2024-02-19,2,1,member,electric_bike,3010,11.35921926910299,7.691666666666666
2024,2024-02-20,2,2,casual,classic_bike,1069,21.395416276894295,12.25
2024,2024-02-20,2,2,casual,electric_bike,1485,12.51097643097643,9.183333333333334
2024,2024-02-20,2,2,member,classic_bike,4279,11.740897405935966,8.6
2024,2024-02-20,2,2,member,electric_bike,4138,10.451280811986466,8.016666666666667
2024,2024-02-21,2,3,casual,classic_bike,1307,24.032070900280537,12.7
2024,2024-02-21,2,3,casual,electric_bike,1647,12.711728395061728,9.216666666666667
2024,2024-02-21,2,3,member,classic_bike,4645,10.836157158234661,8.216666666666667
2024,2024-02-21,2,3,member,electric_bike,4269,10.725513391114234,8.383333333333333
2024,2024-02-22,2,4,casual,classic_bike,1063,20.44082784571966,11.766666666666667
2024,2024-02-22,2,4,casual,electric_bike,1622,12.631730374023837,9.541666666666668
2024,2024-02-22,2,4,member,classic_bike,4269,10.768997423284143,8.383333333333333
2024,2024-02-22,2,4,member,electric_bike,4117,10.737086065905595,8.316666666666666
2024,2024-02-23,2,5,casual,classic_bike,1219,22.68452283292316,12.65
2024,2024-02-23,2,5,casual,electric_bike,1750,13.583857142857143,9.216666666666667
2024,2024-02-23,2,5,member,classic_bike,3982,11.611564540431944,8.15
2024,2024-02-23,2,5,member,electric_bike,4094,10.88396433805569,8.275
2024,2024-02-24,2,6,casual,classic_bike,2418,26.652240143369177,16.491666666666667
2024,2024-02-24,2,6,casual,electric_bike,2037,15.499132711503846,10.466666666666667
2024,2024-02-24,2,6,member,classic_bike,3632,11.80309287812041,8.55
2024,2024-02-24,2,6,member,electric_bike,3660,11.396684881602916,8.291666666666668
2024,2024-02-25,2,7,casual,classic_bike,1916,28.991344815588032,16.291666666666668
2024,2024-02-25,2,7,casual,electric_bike,1753,14.934331621981364,10.183333333333334
2024,2024-02-25,2,7,member,classic_bike,3183,12.36905958739135,8.433333333333334
2024,2024-02-25,2,7,member,electric_bike,3331,11.210807565295706,8.083333333333334
2024,2024-02-26,2,1,casual,classic_bike,1656,27.257236312399353,15.633333333333333
2024,2024-02-26,2,1,casual,electric_bike,1858,14.147452457839972,9.658333333333333
2024,2024-02-26,2,1,member,classic_bike,4720,12.23251765536723,8.733333333333333
2024,2024-02-26,2,1,member,electric_bike,4460,11.241550822122571,8.325
2024,2024-02-27,2,2,casual,classic_bike,1205,20.521715076071924,11.733333333333333
2024,2024-02-27,2,2,casual,electric_bike,1705,13.403431085043987,9.366666666666667
2024,2024-02-27,2,2,member,classic_bike,4706,10.852294942626434,8.516666666666667
2024,2024-02-27,2,2,member,electric_bike,4433,10.986107978043462,8.7
2024,2024-02-28,2,3,casual,classic_bike,736,16.897509057971014,9.525
2024,2024-02-28,2,3,casual,electric_bike,1224,10.81797385620915,8.408333333333333
2024,2024-02-28,2,3,member,classic_bike,3291,10.41881900131672,8.066666666666666
2024,2024-02-28,2,3,member,electric_bike,3421,10.388326999902564,7.966666666666667
2024,2024-02-29,2,4,casual,classic_bike,1240,20.06926075268817,11.316666666666666
2024,2024-02-29,2,4,casual,electric_bike,1678,12.272377830750893,9.016666666666667
2024,2024-02-29,2,4,member,classic_bike,4495,12.007456433073786,8.366666666666667
2024,2024-02-29,2,4,member,electric_bike,4385,10.686731280881794,8.133333333333333
2024,2024-03-01,3,5,casual,classic_bike,1498,23.153682688028482,12.991666666666667
2024,2024-03-01,3,5,casual,electric_bike,1984,12.98494623655914,9.416666666666666
2024,2024-03-01,3,5,member,classic_bike,4018,12.220893479342957,8.1
2024,2024-03-01,3,5,member,electric_bike,4406,10.9713572401271,7.95
2024,2024-03-02,3,6,casual,classic_bike,1365,27.548424908424906,14.3
2024,2024-03-02,3,6,casual,electric_bike,1685,13.631404549950542,9.883333333333333
2024,2024-03-02,3,6,member,classic_bike,2724,11.820148066568771,8.416666666666666
2024,2024-03-02,3,6,member,electric_bike,3095,10.881039310716208,7.833333333333333
2024,2024-03-03,3,7,casual,classic_bike,3525,34.327120567375886,20.316666666666666
2024,2024-03-03,3,7,casual,electric_bike,2676,18.630860737419034,11.516666666666667
2024,2024-03-03,3,7,member,classic_bike,4254,14.476696442563862,9.45
2024,2024-03-03,3,7,member,electric_bike,4136,13.027635396518376,8.925
2024,2024-03-04,3,1,casual,classic_bike,1782,27.98989898989899,15.333333333333334
2024,2024-03-04,3,1,casual,electric_bike,1918,13.952980535279805,9.516666666666667
2024,2024-03-04,3,1,member,classic_bike,4612,12.290589765828273,8.625
2024,2024-03-04,3,1,member,electric_bike,4414,11.613034284851231,8.441666666666666
2024,2024-03-05,3,2,casual,classic_bike,1297,25.599601644821384,12.616666666666667
2024,2024-03-05,3,2,casual,electric_bike,1683,13.337433155080214,9.433333333333334
2024,2024-03-05,3,2,member,classic_bike,4124,12.03911655350792,8.341666666666667
2024,2024-03-05,3,2,member,electric_bike,4003,10.841144141893581,7.916666666666667
2024,2024-03-06,3,3,casual,classic_bike,940,20.86228723404255,11.025
2024,2024-03-06,3,3,casual,electric_bike,1500,11.1028,8.666666666666666
2024,2024-03-06,3,3,member,classic_bike,3648,11.875260416666666,8.516666666666667
2024,2024-03-06,3,3,member,electric_bike,3706,10.345156502968159,7.983333333333333
2024,2024-03-07,3,4,casual,classic_bike,1968,25.774102303523037,13.816666666666666
2024,2024-03-07,3,4,casual,electric_bike,2361,14.708816885500493,10.05
2024,2024-03-07,3,4,member,classic_bike,5235,12.364383954154729,9.066666666666666
2024,2024-03-07,3,4,member,electric_bike,5021,11.637774679678682,8.916666666666666
2024,2024-03-08,3,5,casual,classic_bike,2095,27.10132060461416,15.933333333333334
2024,2024-03-08,3,5,casual,electric_bike,2714,15.057148120854826,10.191666666666666
2024,2024-03-08,3,5,member,classic_bike,4685,11.785720384204911,8.233333333333333
2024,2024-03-08,3,5,member,electric_bike,5178,11.082528646839192,8.366666666666667
2024,2024-03-09,3,6,casual,classic_bike,567,23.05902410346855,11.516666666666667
2024,2024-03-09,3,6,casual,electric_bike,849,10.511700039261875,8.033333333333333
2024,2024-03-09,3,6,member,classic_bike,1438,11.186080203987018,8.066666666666666
2024,2024-03-09,3,6,member,electric_bike,2003,10.132817440505908,7.45
2024,2024-03-10,3,7,casual,classic_bike,1450,29.279310344827586,16.433333333333334
2024,2024-03-10,3,7,casual,electric_bike,1681,15.258437438032917,10.0
2024,2024-03-10,3,7,member,classic_bike,2718,12.33863747853814,8.016666666666667
2024,2024-03-10,3,7,member,electric_bike,3117,10.253780344348199,7.616666666666666
2024,2024-03-11,3,1,casual,classic_bike,1172,23.42019340159272,12.758333333333333
2024,2024-03-11,3,1,casual,electric_bike,1599,13.962643318740879,9.116666666666667
2024,2024-03-11,3,1,member,classic_bike,3730,11.993302055406613,7.833333333333333
2024,2024-03-11,3,1,member,electric_bike,4185,10.432811628833134,7.95
2024,2024-03-12,3,2,casual,classic_bike,2794,30.929002624671917,17.84166666666667
2024,2024-03-12,3,2,casual,electric_bike,2577,16.32857327641961,11.15
2024,2024-03-12,3,2,member,classic_bike,5738,12.856564424305798,9.216666666666667
2024,2024-03-12,3,2,member,electric_bike,5647,11.738265155539816,8.95
2024,2024-03-13,3,3,casual,classic_bike,3145,33.650418653948066,18.3
2024,2024-03-13,3,3,casual,electric_bike,2792,16.82482688634193,10.9
2024,2024-03-13,3,3,member,classic_bike,5911,13.3300484971522,9.316666666666666
2024,2024-03-13,3,3,member,electric_bike,5956,12.016759010521605,9.066666666666666
2024,2024-03-14,3,4,casual,classic_bike,3575,30.910079254079253,18.583333333333332
2024,2024-03-14,3,4,casual,electric_bike,3340,17.37251497005988,11.516666666666667
2024,2024-03-14,3,4,member,classic_bike,5873,12.724445201203247,9.4
2024,2024-03-14,3,4,member,electric_bike,5935,12.09041842179163,9.333333333333334
2024,2024-03-15,3,5,casual,classic_bike,2875,30.46217391304348,17.066666666666666
2024,2024-03-15,3,5,casual,electric_bike,2830,15.300129564193169,11.0
