station_key,station_name,lat,lng,departures,arrivals,total_usage,balance_gap,imbalance_rate
31080,Langston Blvd & N Scott St,38.897612,-77.080851,4341,4135,8476,206,0.024303916941953753
31065,N Pershing Dr & N Wayne St,38.880705,-77.08596,2153,1950,4103,203,0.049475993175725076
31629,8th & East Capitol St NE,38.889988,-76.995193,6490,6293,12783,197,0.015411092857701635
31423,Kansas Ave & Longfellow St NW,38.958098,-77.013821,2368,2172,4540,196,0.04317180616740088
31618,4th & East Capitol St NE,38.889955,-77.000349,13314,13127,26441,187,0.007072349759842668
31605,3rd & D St SE,38.8851,-77.0023,9986,9800,19786,186,0.009400586273122409
31394,New Mexico & Cathedral Ave NW,38.930316,-77.083704,2271,2085,4356,186,0.04269972451790634
31229,New Hampshire Ave & T St NW,38.915544,-77.038252,46856,46671,93527,185,0.0019780384274059896
33101,17th St & Kalorama Rd NW,38.9216394,-77.0385592,5015,4830,9845,185,0.018791264601320468
31610,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806,16183,15999,32182,184,0.005717481822136598
31644,12th St & Pennsylvania Ave SE,38.882489,-76.990121,6460,6280,12740,180,0.0141287284144427
32027,Battery Ln & Trolley Trail,38.992375,-77.100104,1666,1490,3156,176,0.05576679340937896
31236,37th & O St NW / Georgetown University,38.907837,-77.07166,25220,25045,50265,175,0.0034815477966776086
31502,John McCormack Rd & Michigan Ave NE,38.9346,-76.9955,2373,2198,4571,175,0.03828483920367534
31340,North Capitol & Douglas St NW / Reservoir Park Rec ,38.923613,-77.009814,2255,2080,4335,175,0.040369088811995385
31622,13th & D St NE,38.894832,-76.987633,11870,11701,23571,169,0.007169827330193882
31338,Connecticut Ave & Ordway St NW / Cleveland Park Metro ,38.935842,-77.058468,8154,7986,16140,168,0.010408921933085501
31700,Marion Barry Ave & Naylor Rd SE,38.861663,-76.969184,620,462,1082,158,0.14602587800369685
31269,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,13633,13481,27114,152,0.005605960020653537
31242,18th St & Pennsylvania Ave NW,38.89968,-77.041539,9752,9603,19355,149,0.007698269181090157
31029,N Veitch St & 20th St N,38.896923,-77.086502,3715,3568,7283,147,0.020183990113964025
31533,Tanner Park,38.911213594521456,-77.0022565126419,16563,16417,32980,146,0.004426925409338993
31279,19th & G St NW,38.898412,-77.043182,8520,8374,16894,146,0.008642121463241387
32055,Woodmont Ave & Strathmore St,38.979875,-77.093522,2572,2428,5000,144,0.0288
32021,47th & Elm St,38.982456,-77.091991,992,848,1840,144,0.0782608695652174
31904,East Falls Church Metro / Sycamore St & 19th St N,38.88532071975074,-77.15642720460892,3896,3753,7649,143,0.01869525428160544
31725,16th St & North Carolina Ave NE,38.893062,-76.982464,4981,4840,9821,141,0.014356990123205376
31920,Washington-Liberty High School / N Stafford St & Generals Way,38.888282,-77.111066,3387,3248,6635,139,0.020949510173323287
31919,Carlin Springs Rd & N Thomas St,38.876695,-77.112982,1654,1516,3170,138,0.043533123028391164
31287,10th St & L'Enfant Plaza SW,38.88432272414662,-77.02601015567778,6773,6636,13409,137,0.010217018420463868
31328,21st St & G st NW,38.89830173667249,-77.04691261053085,13424,13288,26712,136,0.005091344713986224
31252,21st St & Pennsylvania Ave NW,38.901539,-77.046564,6697,6563,13260,134,0.010105580693815988
31079,Langston Blvd & N Cleveland St,38.894941,-77.09169,2708,2574,5282,134,0.025369178341537298
31025,Central Library / Quincy St & 10th St N,38.88397,-77.10783,3437,3305,6742,132,0.019578760011865915
31036,George Mason Dr & Wilson Blvd,38.87887,-77.1207,2114,1988,4102,126,0.030716723549488054
31516,Rhode Island Ave Metro,38.920682,-76.995876,5327,5203,10530,124,0.01177587844254511
31665,Stadium Armory Metro,38.88548252734069,-76.97718724608421,3435,3311,6746,124,0.018381262970649275
32050,Spring St & 2nd Ave,38.997653,-77.034499,409,286,695,123,0.17697841726618704
32024,Fenton St & Gist Ave,38.989724,-77.023854,1027,906,1933,121,0.06259699948266943
31429,Rock Creek Pkwy & Pkwy Dr NW ,38.891970158,-77.054595232,6224,6104,12328,120,0.00973393900064893
32046,River Rd & Landy Ln,38.964992,-77.103381,2139,2019,4158,120,0.02886002886002886
31526,Rhode Island & Montana Ave NE,38.924492,-76.985133,1553,1433,2986,120,0.04018754186202277
32299,Greensboro Dr & Silver Hill Dr,38.924325,-77.232091,294,177,471,117,0.2484076433121019
32026,Carroll & Ethan Allen Ave,38.977933,-77.006472,1834,1721,3555,113,0.031786216596343175
31518,New York Ave & Hecht Ave NE,38.915604,-76.983683,9447,9336,18783,111,0.00590959910557419
31334,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,38.935839,-77.106913,1031,923,1954,108,0.05527123848515865
31317,Wisconsin Ave & Ingomar St NW,38.958267,-77.084636,1589,1482,3071,107,0.0348420709866493
32260,Vienna Metro South,38.877415,-77.270731,1106,1000,2106,106,0.050332383665717
31806,Congress Heights Metro,38.844711,-76.987823,826,723,1549,103,0.06649451258876694
31413,3rd & Underwood St NW,38.96893546152592,-77.01626300811768,2528,2426,4954,102,0.020589422688736373
31390,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,38.916501,-77.0909109,1418,1319,2737,99,0.03617099013518451
32006,13th St & Eastern Ave,38.987,-77.029417,773,674,1447,99,0.06841741534208708
32261,Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr,38.873261,-77.272999,357,258,615,99,0.16097560975609757
31292,22nd St & Constitution Ave NW,38.892441,-77.048947,6910,6813,13723,97,0.007068425271442105
31970,First St & Fayette St,38.817019,-77.050105,1826,1730,3556,96,0.02699662542182227
32029,Offutt Ln & Chevy Chase Dr,38.977093,-77.094589,849,753,1602,96,0.0599250936329588
32051,Connecticut Ave & Chevy Chase Lake Dr,38.994113,-77.076986,778,685,1463,93,0.063568010936432
32039,Old Georgetown Rd & Southwick St,38.999634,-77.109647,1003,911,1914,92,0.04806687565308255
31424,9th & Ingraham St NW,38.95366314394005,-77.02561318874359,3481,3393,6874,88,0.012801862089031132
31064,Gravelly Point,38.865029,-77.039511,10244,10161,20405,83,0.004067630482724822
31976,Virginia Hospital Center,38.88791377249907,-77.12801456451415,1276,1194,2470,82,0.03319838056680162
31069,N Pershing Dr & N George Mason Dr,38.871822,-77.107906,2604,2523,5127,81,0.01579871269748391
32028,Norfolk & Rugby Ave,38.990639,-77.100239,736,655,1391,81,0.058231488138030196
31535,10th St & Rhode Island Ave NE,38.92248919793601,-76.99267029762268,2790,2711,5501,79,0.014361025268133067
31541,10th & Quincy St NE / Turkey Thicket Rec,38.937849,-76.993509,3751,3673,7424,78,0.01050646551724138
31415,Georgia Ave & Kennedy St NW,38.95674,-77.02791,1564,1486,3050,78,0.025573770491803278
31081,Duke St & John Carlyle St,38.804378,-77.060866,1108,1030,2138,78,0.03648269410664172
32002,Bethesda Ave & Arlington Rd,38.981103,-77.097426,2724,2649,5373,75,0.013958682300390842
31900,Langston Blvd & N Woodstock St,38.898301,-77.118009,1772,1697,3469,75,0.021620063418852694
32243,Reston Town Center Metro North,38.953691,-77.359717,1480,1409,2889,71,0.024575977847005884
32606,N Roosevelt St & Roosevelt Blvd,38.878085,-77.153953,880,810,1690,70,0.04142011834319527
33202,27th St & Woodley Rd NW,38.925764,-77.055113,449,379,828,70,0.08454106280193237
31663,14th & D St SE,38.8840581,-76.9863852,9384,9315,18699,69,0.0036900369003690036
31536,5th & Morse St NE,38.90728677325468,-76.99916660785675,16213,16145,32358,68,0.0021014895852648494
31089,Court House Metro / 15th St & N Uhle St,38.890646696,-77.084795594,7688,7620,15308,68,0.004442121766396656
32058,Sligo Ave & Carroll Ln,38.990874,-77.016311,568,503,1071,65,0.06069094304388422
31935,National Airport,38.852903,-77.045916,2247,2184,4431,63,0.014218009478672985
32420,Prince George's Plaza Metro,38.965742,-76.954803,1785,1722,3507,63,0.017964071856287425
32232,West Falls Church Metro,38.9001,-77.1887,404,342,746,62,0.08310991957104558
31621,4th & D St NW / Judiciary Square,38.895344,-77.016106,5709,5651,11360,58,0.0051056338028169015
31625,3rd & G St SE,38.881185,-77.001828,13932,13875,27807,57,0.002049843564570072
31273,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023,7711,7656,15367,55,0.0035790980672870437
31300,Van Ness Metro / UDC,38.944551,-77.063896,6394,6340,12734,54,0.004240615674572012
32221,Greensboro & International Dr,38.923083,-77.227417,200,146,346,54,0.15606936416184972
32406,Fleet St & Waterfront St,38.782633,-77.016059,812,760,1572,52,0.03307888040712468
31977,Marymount University / Yorktown Blvd & 26th St N,38.904252,-77.127776,483,431,914,52,0.05689277899343545
31608,8th & Eye St SE / Barracks Row,38.8792,-76.9953,6314,6263,12577,51,0.004055021070207522
31092,Langston Blvd & N Monroe St,38.896456,-77.104562,1638,1587,3225,51,0.01581395348837209
32034,Silver Spring Transit Center - Top Level,38.99403485060837,-77.03037142753601,657,606,1263,51,0.040380047505938245
31082,Eisenhower Ave & Mill Race Ln,38.801111,-77.068952,1927,1878,3805,49,0.012877792378449408
31902,Wilson Blvd & N Illinois St ,38.876528,-77.12712,1368,1319,2687,49,0.018235950874581318
31399,Old Meadow Rd & Cathy Ln,38.916908,-77.213879,277,229,506,48,0.09486166007905138
32211,Greensboro Metro East,38.920687266851736,-77.233165204525,249,201,450,48,0.10666666666666667
32218,Temporary Rd & Old Reston Ave,38.960084,-77.353414,309,263,572,46,0.08041958041958042
32075,North Bethesda Metro,39.04753,-77.11287,650,605,1255,45,0.035856573705179286
32302,Innovation Metro South,38.960152,-77.416872,178,135,313,43,0.13738019169329074
31827,St. Elizabeths West Campus/DHS ,38.853124,-77.005174,1707,1665,3372,42,0.012455516014234875
32430,Guilford Drive & Rowalt Drive / UMD,38.978008,-76.939269,1272,1230,2502,42,0.016786570743405275
31908,Radford & Osage St,38.828471,-77.086061,297,255,552,42,0.07608695652173914
32205,Westpark & Jones Branch Dr,38.924437,-77.217664,271,229,500,42,0.084
31322,48th Pl & MacArthur Blvd NW,38.916561,-77.095513,1920,1879,3799,41,0.010792313766780732
32095,Crabbs Branch Avenue & Gramercy Blvd,39.124921,-77.164467,142,101,243,41,0.16872427983539096
31820,Anacostia Park,38.873926,-76.981179,1346,1306,2652,40,0.015082956259426848
31986,Richmond Hwy & Swann Ave,38.829222,-77.050979,684,645,1329,39,0.029345372460496615
32236,Vy Reston Heights,38.949008,-77.355299,236,198,434,38,0.08755760368663594
31318,Connecticut Ave & Yuma St NW,38.947156,-77.065115,3607,3570,7177,37,0.005155357391667828
31091,Joyce St & 16th St S,38.859254,-77.063275,3317,3280,6597,37,0.0056086099742307105
31386,Prosperity Ave & Avenir Pl,38.88143586412813,-77.23037748489112,426,389,815,37,0.04539877300613497
32212,New Dominion Pkwy & Fountain Dr,38.960574,-77.356324,297,261,558,36,0.06451612903225806
32063,Amherst Ave & Elkins St,39.044887,-77.047788,294,258,552,36,0.06521739130434782
31982,20th & Q St NW,38.9110858,-77.0450612,18834,18799,37633,35,0.0009300348098743124
31637,North Capitol St & G Pl NE,38.899703,-77.008911,6864,6829,13693,35,0.0025560505367706126
32407,Oxon Hill Park & Ride,38.798749,-77.00103,147,112,259,35,0.13513513513513514
33204,15th & Chapin St NW,38.921468,-77.035244,236,202,438,34,0.0776255707762557
31957,King St & Kenwood Ave,38.824793,-77.085066,256,223,479,33,0.06889352818371608
31937,Arlington Blvd & Ft Myer Dr,38.890863,-77.074893,2948,2916,5864,32,0.005457025920873124
32282,School St & George Mason Blvd,38.837382,-77.30938,235,203,438,32,0.0730593607305936
31422,Broad Branch Rd & Northampton St NW,38.96577499342219,-77.06862643361092,993,963,1956,30,0.015337423312883436
31411,Georgia & Missouri Ave NW,38.961339,-77.027855,3436,3407,6843,29,0.004237907350577232
31520,24th & R St NE / National Arboretum,38.91263,-76.971923,3155,3126,6281,29,0.004617099188027384
31974,Mandeville Ln & Stovall St,38.802893,-77.072558,1276,1248,2524,28,0.011093502377179081
32080,Fishers Ln & Rock Creek Mill Rd,39.0629,-77.113454,530,502,1032,28,0.027131782945736434
32310,Huntington Metro North,38.79555014326477,-77.07516524458687,123,95,218,28,0.12844036697247707
31922,Potomac Greens & Carpenter Rd,38.831094623,-77.046109796,430,403,833,27,0.03241296518607443
32258,Reston Town Center Metro South,38.9523,-77.361466,289,262,551,27,0.04900181488203267
31825,Fort Stanton Rec Center,38.85736903758752,-76.97768801437633,139,112,251,27,0.10756972111553785
31905,Kennebec St & 11th St N,38.880992,-77.135271,1872,1846,3718,26,0.006993006993006993
32607,S Maple Ave & S Washington St,38.87972,-77.178408,575,549,1124,26,0.023131672597864767
31829,16th & Bangor St SE,38.86044,-76.983585,421,395,816,26,0.031862745098039214
31259,20th St & Virginia Ave NW,38.894722,-77.045128,3238,3213,6451,25,0.0038753681599751977
31946,Kenmore Ave & Seminary Rd,38.828887,-77.110588,383,358,741,25,0.033738191632928474
31916,Potomac Ave & Swann Ave,38.829545,-77.047844,1419,1395,2814,24,0.008528784648187633
32229,Park Run & Onyx Dr,38.92755,-77.226644,417,393,810,24,0.02962962962962963
32272,Madrillon Rd & Boss St,38.910016,-77.226266,287,263,550,24,0.04363636363636364
31280,11th & S St NW,38.91360117514392,-77.02711522579193,18049,18026,36075,23,0.0006375606375606375
31948,W&OD Trail & Langston Blvd,38.88715,-77.16212,1185,1162,2347,23,0.0097997443544951
32413,Rhode Island Ave & 39th St / Brentwood Arts Exchange,38.939271,-76.955047,872,849,1721,23,0.01336432306798373
32411,Northwestern High School,38.975505,-76.952199,579,556,1135,23,0.02026431718061674
31722,Woody Ward Rec Center,38.879575,-76.926596,112,89,201,23,0.11442786069651742
31141,Arlington Blvd & N Queen St,38.889249,-77.077209,558,536,1094,22,0.02010968921389397
32215,Wiehle-Reston Metro South,38.94660792121498,-77.3393914103508,342,320,662,22,0.03323262839879154
32400,1301 McCormick Dr / Wayne K. Curry Admin Bldg,38.908391,-76.843263,227,205,432,22,0.05092592592592592
32247,South Lakes Dr and Reston Pkwy,38.94335,-77.362304,131,109,240,22,0.09166666666666666
